statementID,statement,translation,position,party
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Trzecia Droga
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,disagree,Trzecia Droga
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Trzecia Droga
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Trzecia Droga
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Trzecia Droga
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Trzecia Droga
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Trzecia Droga
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",neutral,Trzecia Droga
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,agree,Trzecia Droga
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Trzecia Droga
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,disagree,Trzecia Droga
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Trzecia Droga
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Trzecia Droga
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Trzecia Droga
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Trzecia Droga
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,agree,Trzecia Droga
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Trzecia Droga
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,agree,Trzecia Droga
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Trzecia Droga
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Trzecia Droga
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,disagree,Nowa Lewica
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,agree,Nowa Lewica
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Nowa Lewica
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Nowa Lewica
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Nowa Lewica
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Nowa Lewica
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,agree,Nowa Lewica
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",agree,Nowa Lewica
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,agree,Nowa Lewica
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Nowa Lewica
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,disagree,Nowa Lewica
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,agree,Nowa Lewica
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Nowa Lewica
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,disagree,Nowa Lewica
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Nowa Lewica
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,agree,Nowa Lewica
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Nowa Lewica
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,disagree,Nowa Lewica
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Nowa Lewica
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Nowa Lewica
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,disagree,Koalicja Obywatelska
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,agree,Koalicja Obywatelska
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Koalicja Obywatelska
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Koalicja Obywatelska
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Koalicja Obywatelska
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Koalicja Obywatelska
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Koalicja Obywatelska
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",agree,Koalicja Obywatelska
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,agree,Koalicja Obywatelska
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,agree,Koalicja Obywatelska
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,disagree,Koalicja Obywatelska
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Koalicja Obywatelska
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Koalicja Obywatelska
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Koalicja Obywatelska
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Koalicja Obywatelska
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,agree,Koalicja Obywatelska
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Koalicja Obywatelska
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,disagree,Koalicja Obywatelska
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Koalicja Obywatelska
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Koalicja Obywatelska
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Konfederacja Wolnosc i Niepodleglosc
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,disagree,Konfederacja Wolnosc i Niepodleglosc
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,disagree,Konfederacja Wolnosc i Niepodleglosc
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,disagree,Konfederacja Wolnosc i Niepodleglosc
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Konfederacja Wolnosc i Niepodleglosc
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,disagree,Konfederacja Wolnosc i Niepodleglosc
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Konfederacja Wolnosc i Niepodleglosc
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",disagree,Konfederacja Wolnosc i Niepodleglosc
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,disagree,Konfederacja Wolnosc i Niepodleglosc
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,agree,Konfederacja Wolnosc i Niepodleglosc
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,disagree,Konfederacja Wolnosc i Niepodleglosc
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Konfederacja Wolnosc i Niepodleglosc
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Konfederacja Wolnosc i Niepodleglosc
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Konfederacja Wolnosc i Niepodleglosc
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Konfederacja Wolnosc i Niepodleglosc
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,disagree,Konfederacja Wolnosc i Niepodleglosc
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Konfederacja Wolnosc i Niepodleglosc
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,agree,Konfederacja Wolnosc i Niepodleglosc
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Konfederacja Wolnosc i Niepodleglosc
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Konfederacja Wolnosc i Niepodleglosc
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Polska Jest Jedna
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,disagree,Polska Jest Jedna
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Polska Jest Jedna
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Polska Jest Jedna
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,disagree,Polska Jest Jedna
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Polska Jest Jedna
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Polska Jest Jedna
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",agree,Polska Jest Jedna
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,disagree,Polska Jest Jedna
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Polska Jest Jedna
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,agree,Polska Jest Jedna
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Polska Jest Jedna
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Polska Jest Jedna
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Polska Jest Jedna
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Polska Jest Jedna
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,disagree,Polska Jest Jedna
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Polska Jest Jedna
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,agree,Polska Jest Jedna
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Polska Jest Jedna
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Polska Jest Jedna
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Bezpartyjni samorzadowcy
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,disagree,Bezpartyjni samorzadowcy
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Bezpartyjni samorzadowcy
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Bezpartyjni samorzadowcy
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Bezpartyjni samorzadowcy
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Bezpartyjni samorzadowcy
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Bezpartyjni samorzadowcy
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",agree,Bezpartyjni samorzadowcy
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,agree,Bezpartyjni samorzadowcy
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Bezpartyjni samorzadowcy
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,agree,Bezpartyjni samorzadowcy
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Bezpartyjni samorzadowcy
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Bezpartyjni samorzadowcy
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Bezpartyjni samorzadowcy
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Bezpartyjni samorzadowcy
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,disagree,Bezpartyjni samorzadowcy
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,disagree,Bezpartyjni samorzadowcy
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,disagree,Bezpartyjni samorzadowcy
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Bezpartyjni samorzadowcy
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,disagree,Bezpartyjni samorzadowcy
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Prawo i Sprawiedliwosc
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,agree,Prawo i Sprawiedliwosc
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,neutral,Prawo i Sprawiedliwosc
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Prawo i Sprawiedliwosc
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,disagree,Prawo i Sprawiedliwosc
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Prawo i Sprawiedliwosc
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,neutral,Prawo i Sprawiedliwosc
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",agree,Prawo i Sprawiedliwosc
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,disagree,Prawo i Sprawiedliwosc
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Prawo i Sprawiedliwosc
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,neutral,Prawo i Sprawiedliwosc
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Prawo i Sprawiedliwosc
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,disagree,Prawo i Sprawiedliwosc
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Prawo i Sprawiedliwosc
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,disagree,Prawo i Sprawiedliwosc
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,disagree,Prawo i Sprawiedliwosc
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Prawo i Sprawiedliwosc
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,agree,Prawo i Sprawiedliwosc
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,disagree,Prawo i Sprawiedliwosc
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,neutral,Prawo i Sprawiedliwosc
